Longitude,Latitude,Encounter Type
-79.861127,44.868989,curious_risk
-79.857753,44.869009999999996,curious_risk
-79.86521099999999,44.86903,curious_risk
-79.85207999999999,44.86905899999999,curious_risk
-79.849042,44.869076,curious_risk
-79.851888,44.86908100000001,curious_risk
-79.871871,44.869143,curious_risk
-79.865479,44.869255,curious_risk
-79.847179,44.869353,curious_risk
-79.86694399999999,44.86942299999998,curious_risk
-79.85556999999997,44.869440000000004,curious_risk
-79.851976,44.86949099999999,curious_risk
-79.867504,44.86956500000001,curious_risk
-79.855375,44.869568,curious_risk
-79.859639,44.86969,curious_risk
-79.85256799999998,44.869756,curious_risk
-79.86407499999999,44.86978200000001,curious_risk
-79.853477,44.869916,curious_risk
-79.846019,44.869961,curious_risk
-79.85851,44.869995999999986,curious_risk
-79.841213,44.870051,curious_risk
-79.86679099999999,44.870093999999995,curious_risk
-79.858978,44.87016999999999,curious_risk
-79.8592,44.870184,curious_risk
-79.83986399999998,44.870205,curious_risk
-79.86780099999997,44.870236,curious_risk
-79.85810499999997,44.87027199999999,curious_risk
-79.848556,44.870282,curious_risk
-79.87253399999999,44.870324,curious_risk
-79.849919,44.870391000000005,curious_risk
-79.85675399999997,44.870392,curious_risk
-79.852392,44.870395,curious_risk
-79.85329999999998,44.870424,curious_risk
-79.863256,44.870517,curious_risk
-79.862561,44.870537,curious_risk
-79.84168799999998,44.870589,curious_risk
-79.84890099999997,44.870704,curious_risk
-79.843888,44.870778,curious_risk
-79.869145,44.870796,curious_risk
-79.845758,44.870891,curious_risk
-79.873041,44.870906,curious_risk
-79.86347599999999,44.870935,curious_risk
-79.858669,44.870937999999995,curious_risk
-79.86494699999997,44.870991,curious_risk
-79.86197999999999,44.87115399999999,curious_risk
-79.850003,44.871201,curious_risk
-79.846802,44.87121,curious_risk
-79.87370999999999,44.87124699999998,curious_risk
-79.85093,44.87125700000001,curious_risk
-79.86416099999997,44.87132299999999,curious_risk
-79.851178,44.87149500000001,curious_risk
-79.867228,44.87154699999999,curious_risk
-79.84329099999997,44.871554,curious_risk
-79.849694,44.871563,curious_risk
-79.855992,44.871567,curious_risk
-79.85018899999997,44.871613,curious_risk
-79.846226,44.87162899999998,curious_risk
-79.861701,44.871688,curious_risk
-79.81227999999999,44.871713,curious_risk
-79.846274,44.871732,curious_risk
-79.872399,44.871825,curious_risk
-79.84016499999997,44.871879,curious_risk
-79.84391599999998,44.87192199999999,curious_risk
-79.844894,44.87200299999999,curious_risk
-79.84385,44.87203499999999,curious_risk
-79.86920099999998,44.872043,curious_risk
-79.84039,44.872104,curious_risk
-79.85092699999997,44.87214199999999,curious_risk
-79.849393,44.8724,curious_risk
-79.82255699999997,44.872413,curious_risk
-79.873185,44.87244899999999,curious_risk
-79.83719999999997,44.872567,curious_risk
-79.849295,44.87276799999999,curious_risk
-79.840113,44.87277000000001,curious_risk
-79.86266099999999,44.872775,curious_risk
-79.86745299999998,44.87278,curious_risk
-79.84801499999999,44.87283,curious_risk
-79.85022399999998,44.872848999999995,curious_risk
-79.84291099999999,44.872865,neutral_passive
-79.847196,44.872908,curious_risk
-79.856918,44.872933999999994,curious_risk
-79.807233,44.87308,curious_risk
-79.86671599999997,44.87308399999999,curious_risk
-79.839602,44.87316,curious_risk
-79.867393,44.87321699999999,neutral_passive
-79.839672,44.873238,curious_risk
-79.842659,44.87326600000001,curious_risk
-79.870163,44.873340999999996,curious_risk
-79.86247599999997,44.873514,curious_risk
-79.862342,44.873577,curious_risk
-79.866858,44.873671,curious_risk
-79.873569,44.87373799999999,curious_risk
